,Job Title,Location,Data,Link,Job Attibutes,Job Descripts
11,Toddler and Preschool Teachers, (Cambridge/Somerville),Jan-03,https://boston.craigslist.org/gbs/edu/d/toddler-and-preschool-teachers/6786123749.html,"
compensation: TBD- Competitive

employment type: full-time

","

QR Code Link to This Post


Tree House Academy Child Care, located in close proximity to Harvard University and MIT, is looking for EEC certified Toddler and Preschool teachers. Competitive salary and excellent benefits include professional development, paid lunch breaks, holidays, vacation and personal time, health, dental, vision, and life insurance, 401(K), free parking or free monthly T-pass, help with student loans, and a wonderful environment on which you can thrive. 
If you are certified through EEC, have a BA in Early Childhood or related field and have at least 1 (one) year experience in a classroom setting we look forward to hearing from you. Must have a passion for working with children.    "
12,Tutor the People seeks PT tutors MCAT/GMAT/LSAT/GRE/CPA/NCLEX/SAT 35hr, (Greater Boston and Online),Jan-03,https://boston.craigslist.org/gbs/edu/d/boston-tutor-the-people-seeks-pt-tutors/6786099600.html,"
compensation: $35/hour

employment type: contract

","

QR Code Link to This Post


Currently seeking applicants who have demonstrated proficiency in the  MCAT, GRE, GMAT, LSAT, NCLEX, SAT, ACT, HSPT, "
13,"SAT / ACT Tutor, Teacher, or Expert in Need!", (Cambridge),Jan-03,https://boston.craigslist.org/gbs/edu/d/cambridge-sat-act-tutor-teacher-or/6786088549.html,"
compensation: Competitive with Market, Commensurate with Experience

employment type: full-time

","

QR Code Link to This Post



Are you an SAT / ACT Tutor, Teacher, or otherwise an expert?  We're looking for you to join PrepScholar to help create test content for our students!


PrepScholar (https://www.prepscholar.com) is the leading online test prep program for the SAT/ACT. We differentiate ourselves from other companies through educational customization -- we believe that all students need customized study plans catering to their individual strengths and weaknesses. As a result, we show dramatically better results and amazing customer satisfaction. 

Our prep program is an automated online program featuring thousands of practice questions across dozens of skills. We are looking for full-time SAT/ACT test prep experts who will write extremely high-quality test questions, explanations, and lessons.

As part of PrepScholar, you'll use your teaching talent to educate students at a national scale. You'll craft realistic questions and effective explanations that train students to apply the most effective strategies. You'll join an exciting online education startup with a mission to improve education at scale through technology.

Your Responsibilities:
+ Craft high-quality SAT/ACT questions and answer explanations. The best way for students to learn these tests is to practice. You can write questions that rival the quality of real tests. Your explanations guide a student clearly through the right thinking process to answer the question and to avoid pitfalls.

+ Record teaching videos for explanations and lessons. As an enthusiastic educator, you'll engage with students through videos, showing them how to solve questions and apply test strategy.


+ Write engaging lessons for skills that teach students fundamental content. We cover a wide span of subjects in English, math, reading, and science.

+ Contribute to the pedagogical design of our education technology.
+ Run projects from time to time that help grow all parts of the company.

Requirements:
+ BA/BS from a highly selective institution.
+ 99%-ile score on the SAT or ACT required. 
+ Knowledge of test prep methods and previous experience tutoring is helpful.
+ Great teaching skills and teaching experience. You can break down tough concepts into clear logical steps. You know what students struggle with, in both learning and behavior, and you've had practice in reaching out to them.

+ Serious commitment and work drive. You always pull through and deliver and take pride in your own work.

+ Experience with other graduate standardized tests a plus (GRE, GMAT, LSAT, MCAT, etc).
+ Past Experience Managing Projects, Programs, or People a Plus.  Ability to be well-organized and learn to manage projects a plus.


About Us:
+ We're making education more effective through customization. We learn the strengths and weaknesses of learners and create tailored learning programs. We create compelling educational experiences for our students by truly understanding their problems.
+ We're passionate about delivering an unparalleled student experience. A lot of companies are trying smart education; almost none are doing it well. 
+ We're a growing national brand reaching millions of students and parents worldwide.
+ Check us out at http://www.prepscholar.com 


About the Position:
+ The position is full-time.
+ Salary is competitive with the industry, and we reward real skill and experience.
+ You'll have a great level of independence to direct your own work.
+ Relocation assistance will be offered as part of the starting package.


How to Apply:
Please send an email to job.testcontent@prepscholar.com with your resume and cover letter. 
Also include your SAT or ACT scores, as well as any other standardized test results (SAT Subject Tests, AP, GMAT, GRE, LSAT, MCAT, etc). We understand these may not be reflective of your current skills.

 Application is on a rolling basis for limited positions, so please apply as soon as you can.

"
14,After School Program - Chess Instructor, (Boston),Jan-03,https://boston.craigslist.org/gbs/edu/d/boston-after-school-program-chess/6786016589.html,"
compensation: $50-$65 per hour/class

employment type: part-time

","

QR Code Link to This Post


Chess Wizards is looking for energetic people to teach chess in an elementary classroom setting.  If having fun at work is an alien concept to you, then this is probably not the best job to consider!  But if you love chess, and feel you can make it fun for kids of all ages, then you have probably found the perfect job (the only drawback: it is part-time). Currently, Chess Wizards is looking for instructors who are willing to teach between 1 and 5 one-hour classes per week.

Instructor Responsibilities and Qualifications:

Classroom Management:

-Maintain an organized and ordered classroom

-Supervise gameplay

-Convey information in an exciting way

Teach Lessons:

-Ability to relate well with children

-Ability to make chess fun!

-Knowledge of basic strategy required 

-USCF rating a plus

PR:

-Maintain communication with our Main Office

-Answer parent questions

Pay: $50-$60 per hour

Hours: 1-5 one-hour classes per week

If you are able to fulfill the responsibilities above, while creating a fun and exciting atmosphere in your classroom, then this is the position for you!

To apply, please submit the following:

1) Resume and contact information

2) Availability from 2pm to 5pm on weekdays



Please apply directly through our career portal:

https://chess-wizards.breezy.hr 

For more information About our program, Please check out our website: http://www.chesswizards.com/

"
15,YMCA Preschool Teacher, (Somerville),Jan-03,https://boston.craigslist.org/gbs/edu/d/somerville-ymca-preschool-teacher/6785935850.html,"
compensation: TBD

employment type: full-time

","

QR Code Link to This Post


Job Description
The Somerville YMCA has an immediate opening for a qualified EEC Preschool Teacher. We are a small NAEYC accredited center looking for creative individuals to join our staff.

Qualifications include:

Degree in early childhood education or candidate in pursuit of ECE degree
Minimum of 6 months to 1 year of teaching experience with Preschoolers (ages 2.9 to 5 years)
EEC Certification required,
strong oral and written communication and interpersonal skills.
Our Child Care staff foster the development and growth of their assigned group of children, while ensuring their health and safety. They provide a child-centered, educational environment that is inviting, warm, and friendly to children, parents and clients.

We are looking for someone who is:

Enthusiastic
Brings energy to our center
Flexible team player
Interested in working with all the ages we serve (from 2.9 through 5 years)
Demonstrates the qualities of patience, tolerance, commitment, perseverance, and optimism.
Excellent benefits including 12% retirement and strong commitment to staff development.    "
16,Teachers Wanted, (Dedham),Jan-03,https://boston.craigslist.org/gbs/edu/d/dedham-teachers-wanted/6785933547.html,"
compensation: Great pay. Compensation depends on experience and education.

employment type: full-time

","

QR Code Link to This Post


Teacher Wanted: Infants-Toddlers - Preschoolers: 

Job Description

Responsibilities:

•	Prepare planning and implement a daily lesson plan in coordination with program director,
•	Teaching circle time, 
•	Supervising no more than 12 children ages 7 weeks to 5 years old,
•	Regular communication with each child's parent, including providing critical information about the child's day, is essential. 
•	The teacher is expected to serve lunch and snacks, 
•	Supervise nap time, as well as outdoor time and help with minor upkeep of the Center.
•	The teacher will also be responsible for keeping rooms decorated and inviting for the children. 
•	Develop curriculum and lesson plans for his/her classroom. 
•	The teacher must ensure the safety and welfare of each child at MCCC, including providing the highest quality care and supporting the goals and objectives of MCCC. Position will be approximately 40 hours a week.

Compensation:

•	Great Pay salary,
•	Excellent vacation package,
•	5 Sick and personal days,
•	Continue education tuition paid,
•	Access to retirement plan (401K),
•	Access to Disability, Accident and life insurance,
•	Opportunity to work with a great team of professionals.

Requirements:

Qualified Teacher for infants and toddlers must possess a license from the Department of Early Childhood Education and Care (EEC). The teacher applicants for MCCC must possess the ability to work well with children, their parents, and other employees, including having effective communication skills, both in English and Spanish. Employees must be caring, compassionate, and friendly, with an interest in early childhood education. Applicants must be at least 18 years old and have a high school degree, or equivalent. 

Schedule:

Hours will be pre-arranged with the Program Director and will depend on children enrollment.
"
17,Resident Services Coordinator- BOS, (Boston),Jan-03,https://boston.craigslist.org/gbs/edu/d/boston-resident-services-coordinator-bos/6785862679.html,"
compensation: competitive

employment type: full-time

","

QR Code Link to This Post


The Schochet Companies are Hiring!

The Schochet Companies is a full-service real estate development and management company seeking a Resident Service Coordinator to perform a variety of functions within the Property Management Team.  The Schochet Company has an AMO designation (Accredited Management Organization) awarded by the Institute of Real Estate Management.  Come join a winning team!

Symphony Plaza is a low-income elderly/disabled apartment community in heart of downtown Boston.  The community has received numerous industry awards including the Communities of Quality.  Duties/Skills include: service coordination, sponsoring education & wellness programs and working closely with the management team on a variety of challenges towards the goal of seeing the resident community thrive. 

•	Connecting Residents to services is the primary duty of the RSC. This includes intake, education (services available and application procedures) and referrals of residents to service providers in the general community.  These services may include, but are not limited to, home health aides, financial assistance, counseling (mental health and substance abuse), job search/training, general education and food assistance.
•	Working as a member of the property management team the RSC also follows up on referrals from other staff regarding tenant issues and concerns.  Staff referrals to the RSC are often focused on lease education, conflict resolution, staff support in difficult situations, safety of residents and emergency support.
•	RSC duties involve spending time with residents on a one-on-one basis related to a variety of topics that are specific to an individual resident's needs.  Residents often have limited outside resources to help them understand forms, letter, and outside services.  RSC often bridge this gap in service needs.
•	Establish on-site wellness programs as outlined in the RSC budget. 
•	Advocate, organize, problem-solve and obtain results for residents.
•	Establish relationships with agencies and service providers in the community who will provide direct services to residents. 
•	Develop an inventory of local health, social service and community resources for use by residents, resident's families and caregivers.  Assist residents in using these resources.
•	Work with property managers and maintenance to assist residents in crisis situations or difficult situations.  In addition, serve as a liaison between residents and property management staff.
•	Maintain resident confidentiality and comply with code of ethics.
•	Produce clearly written files, reports, emails and newsletter as assigned.

Team player with a BS in Social Work or related field required.  Experience with senior citizens & people with disabilities a required. Bilingual in Russian a plus, but not required.   Must have valid driver's license to travel for meetings and conferences when needed. 

Competitive salary & excellent benefits!  Interested and qualified candidates please submit resume to this ad or fax 617-830-0373. Pre-employment background check & drug test required. EOE

For more information please call Robin @ 617-398-5144

www.schochet.com

"
18,"Immediate Openings!  Spanish, French, Mandarin Tutors After School"," (Harvard, Maynard, Littleton, Natick,)",Jan-02,https://boston.craigslist.org/bmw/edu/d/leominster-immediate-openings-spanish/6785542122.html,"
compensation: $30 per class, paid training, curriculum provided

employment type: part-time

internship

","

QR Code Link to This Post


IMMEDIATE OPENINGS!

Global Child, is seeking French, Spanish, Mandarin, French Tutors/Speakers for after school foreign language programs for students.

Global Child provides lesson plans/curriculum, paid training and teacher reimbursements.

P/T $30/hr. for children's program in Harvard, Littleton, Maynard, Natick, and many other towns.

Call Global Child Director: Diana Hibner at 978-851-5337, 978-764-5614

Please do not send resumes--submit application online!    "
19,Full Time Infant/Toddler Teachers!, (153 Alewife Brook Parkway),Jan-02,https://boston.craigslist.org/gbs/edu/d/cambridge-full-time-infant-toddler/6785429413.html,"
compensation: commensurate with experience and education

employment type: full-time

","

QR Code Link to This Post


COMPANY INFORMATION 	
Artisan Childcare Center Cambridge is a full year program providing high quality early childhood education for infants and toddlers with a strong emphasis on the arts, music instruction offered daily!  We offer a rewarding and supportive environment within a unique workplace.  Additionally, Artisan offers great benefits for full time teachers and career development opportunities at our growing company.  Benefits include health and dental, 401(k) employer sponsored, professional development, disability/life insurance, paid holidays, sick and personal days, and paid vacation. Join a childcare center that values creativity, diversity, respect of children and professionalism.  

We are currently filling positions for Infants, Toddlers, and Preschool at our Woburn location. Please send your professional resume and cover letter for consideration. Teachers with arts backgrounds are encouraged to apply!

JOB DESCRIPTION:
Teachers at Artisan are responsible for all aspects of their students' classroom experience, as well as partnerships with parents, professional growth, and administrative duties.  Basic teaching skills such as curriculum development, classroom management, parent relations and documentation are expected from both full time and part time applicants.  Teachers participate in all required staff training and development meetings. 

JOB RESPONSIBILITIES
-Create and implement a preschool appropriate, thematic curriculum based on the early learning guidelines with the co-teacher.
-Create a nurturing, respectful, and safe classroom environment that responds to the needs of each student.
-Ensure that students are meeting developmental expectations and collaborate with parents to help increase student achievement.
-Model lifelong learning and meet professional development requirements.
-Assist in the efficient and effective management of the classroom.
-Incorporate the center-wide music and arts program into the daily culture of the classroom.

QUALIFICATIONS FOR FULL TIME:
BA/BS degree in early childhood or related field
2-4 years classroom experience
Solid foundation in Early Childhood Education and Child Development
Ability to work collaboratively with faculty to enhance curriculum and community
Commitment to professional development and growth
Understanding and interest in developmental stages of children 
Basic computer literacy
DEEC certification required

"
20,Full Time Toddler Teachers Wanted!, (237 Winn St),Jan-02,https://boston.craigslist.org/gbs/edu/d/woburn-full-time-toddler-teachers-wanted/6785426504.html,"
compensation: commensurate with experience and education

employment type: full-time

","

QR Code Link to This Post


COMPANY INFORMATION 	
Artisan Childcare Center is a full year program providing high quality early childhood education for children six weeks to six years with a strong emphasis on the arts, primarily music. Each child at Artisan receives a daily music lesson - including infants!  We offer a rewarding and supportive environment within a unique workplace.  Additionally, Artisan offers great benefits for full time teachers and career development opportunities at our growing company.  Benefits include health and dental, 401(k) employer sponsored, professional development, disability/life insurance, paid holidays, sick and personal days, and paid vacation. Join a childcare center that values creativity, diversity, respect of children and professionalism.  

We are currently filling positions for Infant and Toddler Teachers at our Woburn location. Please send your professional resume and cover letter for consideration. Teachers with arts backgrounds are encouraged to apply!

JOB DESCRIPTION:
Teachers at Artisan are responsible for all aspects of their students' classroom experience, as well as partnerships with parents, professional growth, and administrative duties.  Basic teaching skills such as curriculum development, classroom management, parent relations and documentation are expected from both full time and part time applicants.  Teachers participate in all required staff training and development meetings. 

JOB RESPONSIBILITIES
-Create and implement a preschool appropriate, thematic curriculum based on the early learning guidelines with the co-teacher.
-Create a nurturing, respectful, and safe classroom environment that responds to the needs of each student.
-Ensure that students are meeting developmental expectations and collaborate with parents to help increase student achievement.
-Model lifelong learning and meet professional development requirements.
-Assist in the efficient and effective management of the classroom.
-Incorporate the center-wide music and arts program into the daily culture of the classroom.

QUALIFICATIONS FOR FULL TIME:
BA/BS degree in early childhood or related field
2-4 years classroom experience
Solid foundation in Early Childhood Education and Child Development
Ability to work collaboratively with faculty to enhance curriculum and community
Commitment to professional development and growth
Understanding and interest in developmental stages of children 
Basic computer literacy
DEEC certification required

"
21,Toddler Teacher and Afternoon Assistant Teacher," (Arlington, MA)",Jan-02,https://boston.craigslist.org/gbs/edu/d/arlington-toddler-teacher-and-afternoon/6785282256.html,"
compensation: 15.00-19.00

employment type: employee's choice

non-profit organization

","

QR Code Link to This Post


EEC Certified Toddler Teachers:  Rogers-Pierce Children's Center is a small, non-profit childcare center located in Arlington Center. We are seeking a warm caring toddler teacher to join our energetic and nurturing team. 
A successful candidate is one who can provide an educational environment that supports developmentally appropriate toddler curriculum, which nurtures self-confidence, exploration and creativity. 
Degree in early childhood education preferred.  Co-teacher position is full time, the salary ranges from $16 to $19 based on your education and experience. Competitive benefits. Please send resume for consideration.

Teaching Assistant: Part Time. We are seeking an afternoon teaching assistant to join our energetic and nurturing team. RPCC is available by public transportation.  $15.00-$17.00  based on education and experience.
"
22,"New Year, New Job! Become a Part-Time Tutor", (Metro Boston),Jan-02,https://boston.craigslist.org/gbs/edu/d/boston-new-year-new-job-become-part/6785272088.html,"
compensation: $25-50/hr Paid training. Curriculum provided. Raise opportunities!

employment type: part-time

","

QR Code Link to This Post




Fill out our three-minute application here.

StudyPoint is a national leader in one-to-one in-home tutoring. We've been on the Inc. 5,000 list of the fastest growing companies in America seven years in a row, and we've been voted one of the country's Most Engaged Workplaces. We specialize in test prep (SAT and ACT). This is a flexible part-time tutoring job that fits with any schedule!
Qualifications"
